sample_index_at_1MHz,D0,D1,D2,D3,D4,D5,D6,D7
3150534,0,0,0,0,0,0,0,0
3150542,0,0,0,0,0,0,0,1
3151062,0,0,0,0,0,0,1,1
3151070,0,0,0,0,0,0,1,0
3151587,0,0,0,0,0,0,0,0
3151594,0,0,0,0,0,0,0,1
3152115,0,0,0,0,0,0,1,1
3152123,0,0,0,0,0,0,1,0
3152640,0,0,0,0,0,0,0,0
3152647,0,0,0,0,0,0,0,1
3153168,0,0,0,0,0,0,1,1
3153176,0,0,0,0,0,0,1,0
3153692,0,0,0,0,0,0,0,0
3153700,0,0,0,0,0,0,0,1
3154221,0,0,0,0,0,0,1,1
3154229,0,0,0,0,0,0,1,0
3154747,0,0,0,0,0,0,0,0
3154755,0,0,0,0,0,0,0,1
3155275,0,0,0,0,0,0,1,1
3155283,0,0,0,0,0,0,1,0
3155800,0,0,0,0,0,0,0,0
3155807,0,0,0,0,0,0,0,1
3156329,0,0,0,0,0,0,1,1
3156337,0,0,0,0,0,0,1,0
3156853,0,0,0,0,0,0,0,0
3156860,0,0,0,0,0,0,0,1
3157381,0,0,0,0,0,0,1,1
3157389,0,0,0,0,0,0,1,0
3157906,0,0,0,0,0,0,0,0
3157913,0,0,0,0,0,0,0,1
3158434,0,0,0,0,0,0,1,1
3158442,0,0,0,0,0,0,1,0
3158959,0,0,0,0,0,0,0,0
3158966,0,0,0,0,0,0,0,1
3159486,0,0,0,0,0,0,1,1
3159494,0,0,0,0,0,0,1,0
3160011,0,0,0,0,0,0,0,0
3160019,0,0,0,0,0,0,0,1
3160540,0,0,0,0,0,0,1,1
3160548,0,0,0,0,0,0,1,0
3161065,0,0,0,0,0,0,0,0
3161072,0,0,0,0,0,0,0,1
3161594,0,0,0,0,0,0,1,1
3161602,0,0,0,0,0,0,1,0
3162119,0,0,0,0,0,0,0,0
3162127,0,0,0,0,0,0,0,1
3162648,0,0,0,0,0,0,1,1
3162656,0,0,0,0,0,0,1,0
3163173,0,0,0,0,0,0,0,0
3163180,0,0,0,0,0,0,0,1
3163701,0,0,0,0,0,0,1,1
3163709,0,0,0,0,0,0,1,0
3164225,0,0,0,0,0,0,0,0
3164233,0,0,0,0,0,0,0,1
3164754,0,0,0,0,0,0,1,1
3164762,0,0,0,0,0,0,1,0
3165278,0,0,0,0,0,0,0,0
3165286,0,0,0,0,0,0,0,1
3165807,0,0,0,0,0,0,1,1
3165815,0,0,0,0,0,0,1,0
3166332,0,0,0,0,0,0,0,0
3166340,0,0,0,0,0,0,0,1
3166861,0,0,0,0,0,0,1,1
3166869,0,0,0,0,0,0,1,0
3167386,0,0,0,0,0,0,0,0
3167394,0,0,0,0,0,0,0,1
3167914,0,0,0,0,0,0,1,1
3167922,0,0,0,0,0,0,1,0
3168439,0,0,0,0,0,0,0,0
3168447,0,0,0,0,0,0,0,1
3168968,0,0,0,0,0,0,1,1
3168976,0,0,0,0,0,0,1,0
3169492,0,0,0,0,0,0,0,0
3169500,0,0,0,0,0,0,0,1
3170021,0,0,0,0,0,0,1,1
3170029,0,0,0,0,0,0,1,0
3170546,0,0,0,0,0,0,0,0
3170553,0,0,0,0,0,0,0,1
3171074,0,0,0,0,0,0,1,1
3171082,0,0,0,0,0,0,1,0
3171599,0,0,0,0,0,0,0,0
3171607,0,0,0,0,0,0,0,1
3172127,0,0,0,0,0,0,1,1
3172135,0,0,0,0,0,0,1,0
3172651,0,0,0,0,0,0,0,0
3172659,0,0,0,0,0,0,0,1
3173179,0,0,0,0,0,0,1,1
3173187,0,0,0,0,0,0,1,0
3173703,0,0,0,0,0,0,0,0
3173711,0,0,0,0,0,0,0,1
3174231,0,0,0,0,0,0,1,1
3174239,0,0,0,0,0,0,1,0
3174755,0,0,0,0,0,0,0,0
3174763,0,0,0,0,0,0,0,1
3175283,0,0,0,0,0,0,1,1
3175291,0,0,0,0,0,0,1,0
3175808,0,0,0,0,0,0,0,0
3175816,0,0,0,0,0,0,0,1
3176336,0,0,0,0,0,0,1,1
3176344,0,0,0,0,0,0,1,0
3176860,0,0,0,0,0,0,0,0
3176868,0,0,0,0,0,0,0,1
3177388,0,0,0,0,0,0,1,1
3177396,0,0,0,0,0,0,1,0
3177913,0,0,0,0,0,0,0,0
3177921,0,0,0,0,0,0,0,1
3178441,0,0,0,0,0,0,1,1
3178449,0,0,0,0,0,0,1,0
3178967,0,0,0,0,0,0,0,0
3178975,0,0,0,0,0,0,0,1
